ds,y
2018-01-01,16
2018-02-01,16
2018-03-01,15
2018-04-01,15
2018-05-01,14
2018-06-01,12
2018-07-01,12
2018-08-01,12
2018-09-01,15
2018-10-01,14
2018-11-01,54
2018-12-01,37
2019-01-01,25
2019-02-01,23
2019-03-01,18
2019-04-01,16
2019-05-01,15
2019-06-01,14
2019-07-01,15
2019-08-01,14
2019-09-01,14
2019-10-01,15
2019-11-01,14
2019-12-01,14
2020-01-01,14
2020-02-01,16
2020-03-01,16
2020-04-01,19
2020-05-01,24
2020-06-01,18
2020-07-01,17
2020-08-01,15
2020-09-01,17
2020-10-01,16
2020-11-01,14
2020-12-01,17
2021-01-01,15
2021-02-01,15
2021-03-01,14
2021-04-01,26
2021-05-01,19
2021-06-01,14
2021-07-01,13
2021-08-01,15
2021-09-01,14
2021-10-01,14
2021-11-01,14
2021-12-01,13
2022-01-01,17
2022-02-01,20
2022-03-01,18
2022-04-01,19
2022-05-01,15
2022-06-01,17
2022-07-01,15
2022-08-01,16
2022-09-01,16
2022-10-01,16
2022-11-01,15
2022-12-01,15
2023-01-01,17
2023-02-01,18
2023-03-01,22
2023-04-01,26
2023-05-01,21
2023-06-01,21
2023-07-01,20
2023-08-01,18
2023-09-01,23
2023-10-01,26
2023-11-01,100
2023-12-01,65
2024-01-01,37
2024-02-01,30
2024-03-01,26
2024-04-01,24
2024-05-01,23
2024-06-01,25
2024-07-01,20
2024-08-01,21
2024-09-01,20
2024-10-01,20
2024-11-01,22
2024-12-01,20
2025-01-01,21
2025-02-01,20
2025-03-01,26
2025-04-01,28
2025-05-01,26
2025-06-01,25
2025-07-01,25
2025-08-01,26
2025-09-01,24
2025-10-01,27
2025-11-01,37
2025-12-01,28
