ds,y
2018-01-01,95
2018-02-01,94
2018-03-01,92
2018-04-01,91
2018-05-01,87
2018-06-01,91
2018-07-01,89
2018-08-01,85
2018-09-01,89
2018-10-01,87
2018-11-01,90
2018-12-01,88
2019-01-01,87
2019-02-01,89
2019-03-01,92
2019-04-01,84
2019-05-01,84
2019-06-01,87
2019-07-01,89
2019-08-01,84
2019-09-01,83
2019-10-01,85
2019-11-01,87
2019-12-01,89
2020-01-01,83
2020-02-01,86
2020-03-01,80
2020-04-01,89
2020-05-01,93
2020-06-01,88
2020-07-01,88
2020-08-01,82
2020-09-01,84
2020-10-01,86
2020-11-01,82
2020-12-01,85
2021-01-01,82
2021-02-01,90
2021-03-01,83
2021-04-01,88
2021-05-01,87
2021-06-01,84
2021-07-01,83
2021-08-01,84
2021-09-01,84
2021-10-01,85
2021-11-01,84
2021-12-01,84
2022-01-01,81
2022-02-01,82
2022-03-01,78
2022-04-01,82
2022-05-01,80
2022-06-01,85
2022-07-01,81
2022-08-01,82
2022-09-01,85
2022-10-01,79
2022-11-01,77
2022-12-01,78
2023-01-01,75
2023-02-01,81
2023-03-01,79
2023-04-01,84
2023-05-01,77
2023-06-01,81
2023-07-01,76
2023-08-01,83
2023-09-01,74
2023-10-01,75
2023-11-01,73
2023-12-01,75
2024-01-01,78
2024-02-01,83
2024-03-01,94
2024-04-01,84
2024-05-01,81
2024-06-01,79
2024-07-01,79
2024-08-01,79
2024-09-01,74
2024-10-01,76
2024-11-01,79
2024-12-01,83
2025-01-01,81
2025-02-01,80
2025-03-01,77
2025-04-01,79
2025-05-01,81
2025-06-01,83
2025-07-01,82
2025-08-01,82
2025-09-01,82
2025-10-01,82
2025-11-01,100
2025-12-01,93
