ds,y
2018-01-01,30
2018-02-01,28
2018-03-01,28
2018-04-01,28
2018-05-01,31
2018-06-01,27
2018-07-01,28
2018-08-01,26
2018-09-01,24
2018-10-01,23
2018-11-01,25
2018-12-01,32
2019-01-01,27
2019-02-01,27
2019-03-01,25
2019-04-01,25
2019-05-01,26
2019-06-01,24
2019-07-01,25
2019-08-01,24
2019-09-01,23
2019-10-01,23
2019-11-01,24
2019-12-01,29
2020-01-01,24
2020-02-01,25
2020-03-01,24
2020-04-01,29
2020-05-01,30
2020-06-01,28
2020-07-01,29
2020-08-01,30
2020-09-01,29
2020-10-01,28
2020-11-01,29
2020-12-01,37
2021-01-01,30
2021-02-01,33
2021-03-01,30
2021-04-01,29
2021-05-01,28
2021-06-01,27
2021-07-01,28
2021-08-01,25
2021-09-01,26
2021-10-01,27
2021-11-01,29
2021-12-01,34
2022-01-01,32
2022-02-01,67
2022-03-01,38
2022-04-01,38
2022-05-01,36
2022-06-01,34
2022-07-01,33
2022-08-01,30
2022-09-01,34
2022-10-01,30
2022-11-01,29
2022-12-01,35
2023-01-01,31
2023-02-01,30
2023-03-01,29
2023-04-01,29
2023-05-01,30
2023-06-01,29
2023-07-01,28
2023-08-01,29
2023-09-01,29
2023-10-01,30
2023-11-01,30
2023-12-01,36
2024-01-01,100
2024-02-01,84
2024-03-01,42
2024-04-01,36
2024-05-01,38
2024-06-01,37
2024-07-01,34
2024-08-01,32
2024-09-01,33
2024-10-01,33
2024-11-01,33
2024-12-01,41
2025-01-01,36
2025-02-01,37
2025-03-01,37
2025-04-01,35
2025-05-01,34
2025-06-01,34
2025-07-01,40
2025-08-01,37
2025-09-01,37
2025-10-01,50
2025-11-01,47
2025-12-01,46
