ds,y
2018-01-01,66
2018-02-01,78
2018-03-01,78
2018-04-01,75
2018-05-01,75
2018-06-01,73
2018-07-01,75
2018-08-01,74
2018-09-01,73
2018-10-01,71
2018-11-01,73
2018-12-01,67
2019-01-01,67
2019-02-01,72
2019-03-01,73
2019-04-01,69
2019-05-01,61
2019-06-01,67
2019-07-01,62
2019-08-01,62
2019-09-01,60
2019-10-01,61
2019-11-01,65
2019-12-01,67
2020-01-01,67
2020-02-01,63
2020-03-01,66
2020-04-01,74
2020-05-01,76
2020-06-01,75
2020-07-01,73
2020-08-01,72
2020-09-01,67
2020-10-01,68
2020-11-01,65
2020-12-01,79
2021-01-01,72
2021-02-01,67
2021-03-01,65
2021-04-01,63
2021-05-01,71
2021-06-01,66
2021-07-01,65
2021-08-01,68
2021-09-01,61
2021-10-01,62
2021-11-01,63
2021-12-01,65
2022-01-01,65
2022-02-01,62
2022-03-01,63
2022-04-01,71
2022-05-01,72
2022-06-01,76
2022-07-01,76
2022-08-01,71
2022-09-01,68
2022-10-01,71
2022-11-01,64
2022-12-01,70
2023-01-01,74
2023-02-01,80
2023-03-01,78
2023-04-01,69
2023-05-01,67
2023-06-01,73
2023-07-01,75
2023-08-01,75
2023-09-01,75
2023-10-01,70
2023-11-01,70
2023-12-01,76
2024-01-01,76
2024-02-01,75
2024-03-01,67
2024-04-01,71
2024-05-01,75
2024-06-01,78
2024-07-01,78
2024-08-01,80
2024-09-01,74
2024-10-01,75
2024-11-01,78
2024-12-01,82
2025-01-01,84
2025-02-01,78
2025-03-01,72
2025-04-01,78
2025-05-01,82
2025-06-01,77
2025-07-01,88
2025-08-01,100
2025-09-01,90
2025-10-01,86
2025-11-01,93
2025-12-01,100
