ds,y
2018-01-01,66
2018-02-01,73
2018-03-01,73
2018-04-01,67
2018-05-01,66
2018-06-01,57
2018-07-01,50
2018-08-01,55
2018-09-01,74
2018-10-01,75
2018-11-01,65
2018-12-01,59
2019-01-01,68
2019-02-01,75
2019-03-01,70
2019-04-01,66
2019-05-01,63
2019-06-01,58
2019-07-01,51
2019-08-01,53
2019-09-01,64
2019-10-01,68
2019-11-01,65
2019-12-01,63
2020-01-01,67
2020-02-01,72
2020-03-01,64
2020-04-01,81
2020-05-01,76
2020-06-01,65
2020-07-01,59
2020-08-01,60
2020-09-01,82
2020-10-01,76
2020-11-01,65
2020-12-01,69
2021-01-01,73
2021-02-01,79
2021-03-01,81
2021-04-01,73
2021-05-01,76
2021-06-01,65
2021-07-01,56
2021-08-01,57
2021-09-01,69
2021-10-01,69
2021-11-01,67
2021-12-01,64
2022-01-01,75
2022-02-01,86
2022-03-01,100
2022-04-01,89
2022-05-01,86
2022-06-01,71
2022-07-01,61
2022-08-01,66
2022-09-01,80
2022-10-01,84
2022-11-01,87
2022-12-01,84
2023-01-01,95
2023-02-01,98
2023-03-01,91
2023-04-01,76
2023-05-01,79
2023-06-01,70
2023-07-01,64
2023-08-01,67
2023-09-01,75
2023-10-01,77
2023-11-01,78
2023-12-01,74
2024-01-01,81
2024-02-01,86
2024-03-01,82
2024-04-01,82
2024-05-01,78
2024-06-01,63
2024-07-01,61
2024-08-01,71
2024-09-01,73
2024-10-01,74
2024-11-01,73
2024-12-01,73
2025-01-01,87
2025-02-01,82
2025-03-01,78
2025-04-01,69
2025-05-01,73
2025-06-01,62
2025-07-01,64
2025-08-01,74
2025-09-01,81
2025-10-01,75
2025-11-01,77
2025-12-01,73
