"Time","profit","growth","wealth","success","breakout","rally","momentum"
"2017-12-01",12,27,7,13,5,11,5
"2018-01-01",13,31,8,14,5,13,5
"2018-02-01",13,32,8,15,5,11,5
"2018-03-01",13,30,8,15,5,11,5
"2018-04-01",13,30,9,15,4,12,5
"2018-05-01",12,29,7,14,5,12,5
"2018-06-01",11,27,7,13,4,13,4
"2018-07-01",11,27,8,13,3,13,4
"2018-08-01",11,28,7,14,4,13,4
"2018-09-01",12,32,7,15,5,13,4
"2018-10-01",13,32,8,16,4,16,5
"2018-11-01",12,30,7,14,5,12,5
"2018-12-01",11,27,7,15,4,10,5
"2019-01-01",13,30,8,16,4,13,5
"2019-02-01",13,31,8,16,4,13,6
"2019-03-01",13,31,8,16,4,13,6
"2019-04-01",13,30,8,14,5,13,5
"2019-05-01",12,29,8,14,5,14,5
"2019-06-01",11,27,8,13,3,14,4
"2019-07-01",11,27,8,14,3,13,4
"2019-08-01",11,28,7,13,4,14,4
"2019-09-01",13,32,8,15,5,13,5
"2019-10-01",13,28,8,14,6,14,5
"2019-11-01",13,31,8,14,5,12,6
"2019-12-01",11,28,8,13,5,11,5
"2020-01-01",12,31,9,14,5,16,5
"2020-02-01",13,31,10,14,4,14,6
"2020-03-01",12,30,9,12,4,10,5
"2020-04-01",13,34,9,12,5,10,5
"2020-05-01",13,32,8,12,5,9,5
"2020-06-01",13,30,8,13,4,24,6
"2020-07-01",13,30,9,13,4,12,5
"2020-08-01",12,30,8,13,5,12,5
"2020-09-01",14,36,8,15,5,15,6
"2020-10-01",13,33,8,14,4,18,6
"2020-11-01",12,32,9,13,4,13,6
"2020-12-01",13,31,9,12,3,10,5
"2021-01-01",13,33,9,12,4,15,5
"2021-02-01",14,34,9,13,4,9,6
"2021-03-01",15,34,9,13,3,9,6
"2021-04-01",13,31,8,13,3,9,5
"2021-05-01",13,31,8,13,3,9,5
"2021-06-01",13,30,8,12,3,11,5
"2021-07-01",12,30,8,12,3,11,5
"2021-08-01",12,30,9,13,3,11,5
"2021-09-01",14,31,8,14,3,13,5
"2021-10-01",14,32,9,14,3,11,5
"2021-11-01",14,30,8,13,3,9,5
"2021-12-01",13,29,8,12,3,9,5
"2022-01-01",16,35,9,14,4,13,5
"2022-02-01",17,40,10,16,3,11,6
"2022-03-01",19,41,10,17,3,11,6
"2022-04-01",17,40,10,16,4,12,6
"2022-05-01",16,36,9,15,3,12,6
"2022-06-01",14,31,9,15,3,12,6
"2022-07-01",13,32,9,15,3,11,5
"2022-08-01",15,34,12,16,3,11,5
"2022-09-01",16,37,10,18,4,12,6
"2022-10-01",15,35,9,17,3,12,6
"2022-11-01",15,37,8,16,3,10,6
"2022-12-01",14,34,8,15,3,9,5
"2023-01-01",16,39,10,16,3,11,6
"2023-02-01",16,40,10,16,4,10,6
"2023-03-01",15,39,9,17,4,10,6
"2023-04-01",15,36,9,16,3,11,5
"2023-05-01",15,36,9,15,4,11,6
"2023-06-01",14,34,8,14,4,11,5
"2023-07-01",14,35,9,15,4,10,5
"2023-08-01",14,36,9,15,4,11,5
"2023-09-01",16,40,10,17,4,12,6
"2023-10-01",16,42,9,17,4,12,6
"2023-11-01",15,39,9,16,4,11,6
"2023-12-01",14,37,10,15,4,9,5
"2024-01-01",16,41,13,16,4,11,6
"2024-02-01",17,43,15,16,4,11,6
"2024-03-01",17,40,12,16,4,11,6
"2024-04-01",17,41,11,16,5,12,6
"2024-05-01",15,41,10,14,8,13,6
"2024-06-01",14,38,10,14,4,12,5
"2024-07-01",14,37,10,14,4,26,5
"2024-08-01",14,37,10,15,7,18,5
"2024-09-01",15,42,10,17,6,15,6
"2024-10-01",15,42,11,17,4,23,6
"2024-11-01",16,40,11,16,5,14,6
"2024-12-01",15,37,11,16,5,10,6
"2025-01-01",16,45,13,16,5,13,6
"2025-02-01",17,45,14,17,5,11,7
"2025-03-01",16,44,13,17,5,12,6
"2025-04-01",16,42,12,16,4,13,6
"2025-05-01",15,41,12,15,5,13,5
"2025-06-01",15,44,12,16,4,12,5
"2025-07-01",18,46,14,16,5,12,6
"2025-08-01",26,78,18,23,10,16,10
"2025-09-01",25,79,18,25,8,17,10
"2025-10-01",24,71,17,25,8,17,9
"2025-11-01",24,71,18,21,6,15,9
"2025-12-01",23,67,19,23,5,13,8
"2026-01-01",26,82,20,25,6,16,10
"2026-02-01",32,100,24,30,6,14,10
"2026-03-01",27,90,22,26,6,16,10
"2026-04-01",25,87,20,25,6,16,9
