"Time","stocks","shares","equity","dividend","index","ETF","NASDAQ"
"2017-12-01",16,10,12,7,49,6,4
"2018-01-01",19,11,14,8,52,8,5
"2018-02-01",19,11,14,8,63,7,6
"2018-03-01",14,10,13,8,58,5,6
"2018-04-01",12,11,14,7,57,5,6
"2018-05-01",11,10,13,7,56,5,5
"2018-06-01",11,10,13,6,55,5,5
"2018-07-01",11,10,13,6,58,6,5
"2018-08-01",13,11,13,7,59,6,5
"2018-09-01",14,10,14,7,57,6,5
"2018-10-01",15,11,14,7,61,6,8
"2018-11-01",12,10,13,7,63,6,7
"2018-12-01",13,9,11,7,58,6,7
"2019-01-01",13,11,13,7,62,6,7
"2019-02-01",13,12,14,8,61,6,6
"2019-03-01",13,12,14,9,60,6,6
"2019-04-01",12,12,14,8,60,6,6
"2019-05-01",12,11,13,8,62,6,7
"2019-06-01",11,10,13,7,65,6,6
"2019-07-01",11,11,13,7,58,7,6
"2019-08-01",12,10,12,8,58,7,7
"2019-09-01",11,11,14,8,63,7,5
"2019-10-01",11,11,14,8,62,7,6
"2019-11-01",12,11,14,8,63,7,6
"2019-12-01",13,11,12,8,60,7,6
"2020-01-01",15,11,14,9,66,9,7
"2020-02-01",18,13,15,10,62,10,9
"2020-03-01",39,20,14,12,98,17,15
"2020-04-01",32,17,13,13,80,16,11
"2020-05-01",26,15,13,11,70,13,11
"2020-06-01",29,17,15,12,73,12,12
"2020-07-01",25,16,15,11,76,12,12
"2020-08-01",23,16,13,11,67,12,11
"2020-09-01",21,15,17,10,71,10,16
"2020-10-01",18,14,15,10,65,9,12
"2020-11-01",22,14,15,10,63,11,12
"2020-12-01",25,15,13,11,63,13,11
"2021-01-01",43,18,14,11,63,17,13
"2021-02-01",46,19,16,14,63,21,15
"2021-03-01",28,17,15,13,68,17,19
"2021-04-01",26,15,14,11,62,15,14
"2021-05-01",26,15,14,12,65,13,14
"2021-06-01",25,15,14,12,64,12,12
"2021-07-01",19,13,13,10,63,12,12
"2021-08-01",19,13,13,10,64,11,11
"2021-09-01",17,13,14,10,64,11,11
"2021-10-01",19,15,14,10,62,14,12
"2021-11-01",21,15,14,9,64,13,13
"2021-12-01",19,13,13,9,62,12,13
"2022-01-01",25,14,17,11,75,17,17
"2022-02-01",22,15,18,12,85,15,19
"2022-03-01",21,15,18,12,92,15,16
"2022-04-01",21,14,17,11,74,12,14
"2022-05-01",18,13,16,11,84,11,22
"2022-06-01",16,11,15,10,79,10,19
"2022-07-01",14,11,15,11,78,9,16
"2022-08-01",16,12,15,11,78,10,17
"2022-09-01",15,12,16,10,80,9,17
"2022-10-01",15,11,16,10,81,9,16
"2022-11-01",14,12,14,10,74,9,15
"2022-12-01",14,10,13,9,74,9,13
"2023-01-01",16,11,16,11,71,11,14
"2023-02-01",17,13,16,12,77,11,15
"2023-03-01",15,11,17,11,75,10,14
"2023-04-01",13,10,15,10,66,9,12
"2023-05-01",14,10,15,12,73,9,12
"2023-06-01",15,11,15,11,78,11,14
"2023-07-01",16,11,14,11,73,11,13
"2023-08-01",16,11,14,11,71,11,14
"2023-09-01",15,12,16,11,71,11,12
"2023-10-01",15,11,15,9,72,11,13
"2023-11-01",16,11,14,10,69,12,13
"2023-12-01",19,12,13,11,65,15,12
"2024-01-01",21,14,17,11,70,27,14
"2024-02-01",24,14,20,13,62,18,13
"2024-03-01",20,13,17,11,61,20,12
"2024-04-01",19,12,16,11,67,16,13
"2024-05-01",18,12,16,12,64,18,11
"2024-06-01",20,13,16,11,61,16,11
"2024-07-01",21,13,16,11,61,18,14
"2024-08-01",21,13,15,11,66,17,18
"2024-09-01",18,13,17,10,62,16,14
"2024-10-01",18,13,15,10,60,18,13
"2024-11-01",22,14,15,10,64,19,13
"2024-12-01",22,13,14,11,58,21,14
"2025-01-01",24,13,17,11,62,24,16
"2025-02-01",22,13,18,14,62,23,15
"2025-03-01",21,13,16,12,66,22,21
"2025-04-01",25,13,17,11,74,21,30
"2025-05-01",18,13,16,12,57,17,14
"2025-06-01",21,14,18,12,60,19,13
"2025-07-01",25,15,19,15,64,25,15
"2025-08-01",48,23,31,29,95,57,23
"2025-09-01",46,23,32,26,86,52,20
"2025-10-01",43,22,31,21,78,55,20
"2025-11-01",37,23,31,23,88,47,20
"2025-12-01",34,21,28,22,81,46,18
"2026-01-01",41,24,32,19,84,58,18
"2026-02-01",40,30,43,25,100,54,21
"2026-03-01",51,29,42,23,96,55,23
"2026-04-01",34,25,32,20,82,41,20
