"Time","FOREX","currency","dollar","euro","yen","pound","exchange"
"2017-12-01",1,5,11,12,1,4,7
"2018-01-01",1,5,10,14,1,4,7
"2018-02-01",1,5,11,14,1,4,7
"2018-03-01",1,4,10,13,1,4,7
"2018-04-01",1,4,10,13,1,4,7
"2018-05-01",1,4,11,14,1,3,7
"2018-06-01",1,5,11,16,1,3,7
"2018-07-01",1,5,11,15,1,4,7
"2018-08-01",1,5,12,19,1,4,7
"2018-09-01",1,5,12,15,1,4,7
"2018-10-01",1,5,12,14,1,4,6
"2018-11-01",1,5,12,14,1,4,7
"2018-12-01",1,5,12,14,1,4,7
"2019-01-01",1,5,11,14,1,4,6
"2019-02-01",1,5,11,13,1,4,6
"2019-03-01",1,5,11,15,1,4,6
"2019-04-01",1,4,11,13,1,4,6
"2019-05-01",1,5,11,14,1,4,6
"2019-06-01",1,5,12,16,1,4,6
"2019-07-01",1,5,12,16,1,4,7
"2019-08-01",1,5,13,17,1,4,7
"2019-09-01",1,5,12,16,1,4,7
"2019-10-01",1,5,11,17,1,4,6
"2019-11-01",1,4,11,16,1,4,6
"2019-12-01",1,5,12,15,1,4,7
"2020-01-01",1,5,11,14,1,4,6
"2020-02-01",1,4,11,15,1,4,6
"2020-03-01",1,4,14,17,1,4,6
"2020-04-01",1,4,13,14,1,4,5
"2020-05-01",1,3,11,13,1,4,5
"2020-06-01",1,3,12,14,1,4,5
"2020-07-01",1,4,11,14,1,4,5
"2020-08-01",1,4,12,15,1,4,5
"2020-09-01",1,4,11,14,1,4,6
"2020-10-01",1,3,10,14,1,3,5
"2020-11-01",1,3,11,16,1,4,5
"2020-12-01",1,3,11,15,1,4,5
"2021-01-01",1,4,11,14,1,4,5
"2021-02-01",1,4,11,15,1,3,5
"2021-03-01",1,4,11,16,1,3,6
"2021-04-01",1,4,11,15,1,3,6
"2021-05-01",1,4,11,16,1,3,5
"2021-06-01",1,4,12,100,1,3,5
"2021-07-01",1,4,11,51,1,3,5
"2021-08-01",1,4,12,15,1,3,5
"2021-09-01",1,4,11,14,1,3,5
"2021-10-01",1,4,12,16,1,3,6
"2021-11-01",1,4,12,18,1,4,6
"2021-12-01",1,4,13,23,1,4,6
"2022-01-01",1,4,11,19,1,3,5
"2022-02-01",1,5,12,18,1,3,6
"2022-03-01",1,6,13,22,1,3,7
"2022-04-01",1,5,12,19,1,3,7
"2022-05-01",1,5,14,22,2,4,7
"2022-06-01",1,6,14,23,2,4,6
"2022-07-01",1,6,17,29,2,4,6
"2022-08-01",1,6,15,24,2,4,6
"2022-09-01",1,6,16,22,2,5,6
"2022-10-01",1,6,17,22,2,5,6
"2022-11-01",1,6,15,21,2,5,6
"2022-12-01",1,6,15,20,2,4,6
"2023-01-01",1,6,14,22,2,4,6
"2023-02-01",1,6,15,19,2,4,6
"2023-03-01",1,6,14,22,2,4,6
"2023-04-01",1,6,15,21,2,4,6
"2023-05-01",1,6,14,20,2,4,6
"2023-06-01",2,6,14,27,2,4,6
"2023-07-01",2,6,15,25,2,5,6
"2023-08-01",2,6,15,23,2,4,6
"2023-09-01",2,6,15,23,2,4,6
"2023-10-01",1,6,14,23,2,4,6
"2023-11-01",1,5,14,23,2,4,6
"2023-12-01",1,5,14,20,2,4,6
"2024-01-01",1,5,12,20,2,4,6
"2024-02-01",1,5,12,18,2,3,6
"2024-03-01",1,5,13,19,3,3,6
"2024-04-01",1,5,12,18,3,3,6
"2024-05-01",1,5,12,19,3,3,5
"2024-06-01",1,5,12,81,3,3,5
"2024-07-01",1,5,12,62,3,3,5
"2024-08-01",1,5,12,20,3,3,5
"2024-09-01",1,5,12,19,3,3,5
"2024-10-01",1,5,12,17,3,3,6
"2024-11-01",1,4,13,19,3,4,6
"2024-12-01",1,5,14,18,3,4,6
"2025-01-01",1,5,12,18,3,4,6
"2025-02-01",1,5,12,18,3,4,6
"2025-03-01",1,5,12,18,3,4,6
"2025-04-01",1,5,13,19,3,4,6
"2025-05-01",1,5,13,18,3,4,5
"2025-06-01",1,5,13,19,2,3,5
"2025-07-01",1,5,12,22,3,4,7
"2025-08-01",2,5,13,21,3,4,13
"2025-09-01",2,5,12,20,3,3,11
"2025-10-01",1,5,12,18,3,3,9
"2025-11-01",1,5,13,17,3,4,10
"2025-12-01",2,5,13,18,3,4,13
"2026-01-01",2,5,13,18,3,4,10
"2026-02-01",2,5,13,18,3,4,12
"2026-03-01",2,5,14,20,3,4,10
"2026-04-01",1,5,12,19,3,4,8
