"Time","gold","bullion","precious","ounce","karat","jewelry","reserve"
"2017-12-01",30,0,1,1,0,5,3
"2018-01-01",28,0,1,1,0,3,2
"2018-02-01",30,0,1,1,0,4,2
"2018-03-01",27,0,1,1,0,3,3
"2018-04-01",28,0,1,1,0,3,3
"2018-05-01",26,0,1,1,0,3,3
"2018-06-01",25,0,1,1,0,3,2
"2018-07-01",27,0,1,1,0,3,2
"2018-08-01",28,0,1,1,0,3,2
"2018-09-01",25,0,1,1,0,3,2
"2018-10-01",27,0,1,1,0,3,2
"2018-11-01",28,0,1,1,0,4,2
"2018-12-01",30,0,1,1,0,5,3
"2019-01-01",28,0,1,1,0,3,2
"2019-02-01",28,0,1,1,0,4,2
"2019-03-01",28,0,1,1,0,3,3
"2019-04-01",27,0,1,1,0,3,3
"2019-05-01",26,0,1,1,0,4,2
"2019-06-01",30,0,1,1,0,3,2
"2019-07-01",29,0,1,1,0,3,3
"2019-08-01",33,0,1,1,0,3,3
"2019-09-01",32,0,1,1,0,3,3
"2019-10-01",31,0,1,1,0,3,2
"2019-11-01",32,0,1,1,0,4,3
"2019-12-01",32,0,1,1,0,5,3
"2020-01-01",34,0,1,1,0,4,3
"2020-02-01",32,0,1,1,0,4,3
"2020-03-01",39,0,1,1,0,3,2
"2020-04-01",30,0,1,1,0,3,2
"2020-05-01",30,0,1,1,0,4,2
"2020-06-01",31,0,1,1,0,4,2
"2020-07-01",36,0,1,1,0,4,3
"2020-08-01",44,0,1,1,0,4,3
"2020-09-01",36,0,1,1,0,4,2
"2020-10-01",35,0,1,1,0,4,2
"2020-11-01",38,0,1,1,0,4,2
"2020-12-01",38,0,1,1,0,5,2
"2021-01-01",36,0,1,1,0,4,2
"2021-02-01",42,0,1,1,0,4,2
"2021-03-01",45,0,1,1,0,4,2
"2021-04-01",37,0,1,1,0,4,2
"2021-05-01",33,0,1,1,0,4,2
"2021-06-01",34,0,1,1,0,4,2
"2021-07-01",38,0,1,1,0,4,2
"2021-08-01",37,0,1,1,0,4,2
"2021-09-01",33,0,1,1,0,4,2
"2021-10-01",34,0,1,1,0,4,3
"2021-11-01",33,0,1,1,0,4,2
"2021-12-01",34,0,1,1,0,5,3
"2022-01-01",32,0,1,1,0,4,3
"2022-02-01",37,0,1,1,0,4,3
"2022-03-01",38,0,1,1,0,3,3
"2022-04-01",35,0,1,1,0,4,3
"2022-05-01",34,0,1,1,0,3,3
"2022-06-01",32,0,1,1,0,3,3
"2022-07-01",34,0,1,1,0,4,3
"2022-08-01",34,0,1,1,0,4,3
"2022-09-01",33,0,1,1,0,3,3
"2022-10-01",34,0,1,1,0,3,3
"2022-11-01",30,0,1,1,0,4,2
"2022-12-01",34,0,1,1,0,4,3
"2023-01-01",37,0,1,1,0,3,3
"2023-02-01",36,0,1,1,0,4,3
"2023-03-01",36,0,1,1,0,3,3
"2023-04-01",36,0,1,1,0,3,3
"2023-05-01",34,0,1,1,0,3,3
"2023-06-01",34,0,1,1,0,3,3
"2023-07-01",36,0,1,1,0,3,3
"2023-08-01",33,0,1,1,0,3,3
"2023-09-01",35,0,1,1,0,3,3
"2023-10-01",38,0,1,1,0,3,2
"2023-11-01",35,0,1,1,0,4,3
"2023-12-01",37,0,1,1,0,5,3
"2024-01-01",32,0,1,1,0,4,3
"2024-02-01",32,0,1,1,0,4,3
"2024-03-01",32,0,1,1,0,3,3
"2024-04-01",37,0,1,1,0,4,3
"2024-05-01",35,0,1,1,0,4,3
"2024-06-01",33,0,1,1,0,4,3
"2024-07-01",39,0,1,1,0,4,3
"2024-08-01",45,0,1,1,0,4,3
"2024-09-01",36,0,1,1,0,4,3
"2024-10-01",38,0,1,1,0,3,3
"2024-11-01",41,0,1,1,0,4,3
"2024-12-01",38,0,1,1,0,5,3
"2025-01-01",35,0,1,1,0,4,3
"2025-02-01",40,0,1,1,0,4,3
"2025-03-01",39,0,1,1,0,4,3
"2025-04-01",48,0,1,1,0,4,3
"2025-05-01",41,0,1,1,0,4,3
"2025-06-01",38,0,1,1,0,4,3
"2025-07-01",40,0,1,1,0,4,3
"2025-08-01",48,0,1,1,1,5,5
"2025-09-01",53,1,1,1,1,5,5
"2025-10-01",67,1,1,2,1,5,5
"2025-11-01",54,1,1,1,1,5,5
"2025-12-01",54,1,1,2,1,6,5
"2026-01-01",71,1,1,2,1,5,5
"2026-02-01",95,1,1,2,1,9,5
"2026-03-01",100,1,1,2,1,6,6
"2026-04-01",73,1,1,2,1,6,5
