"Time","realestate","property","mortgage","housing","rent","investment","listing"
"2017-12-01",1,37,16,16,62,11,3
"2018-01-01",2,44,21,19,74,12,4
"2018-02-01",2,44,21,19,78,12,4
"2018-03-01",2,43,20,19,77,11,4
"2018-04-01",2,44,20,20,76,11,4
"2018-05-01",2,42,19,19,77,11,3
"2018-06-01",2,41,19,18,79,10,4
"2018-07-01",2,42,18,19,85,11,4
"2018-08-01",2,44,18,20,81,11,4
"2018-09-01",1,42,17,18,72,11,3
"2018-10-01",1,41,17,19,65,11,3
"2018-11-01",1,38,16,18,64,10,3
"2018-12-01",1,35,15,17,67,9,3
"2019-01-01",1,43,21,19,78,10,3
"2019-02-01",1,44,21,21,78,11,3
"2019-03-01",1,45,22,19,75,12,3
"2019-04-01",1,44,22,19,75,11,4
"2019-05-01",1,43,20,20,78,10,3
"2019-06-01",1,42,21,19,81,11,3
"2019-07-01",1,44,21,20,85,11,3
"2019-08-01",1,43,23,20,80,11,3
"2019-09-01",1,43,22,19,74,12,3
"2019-10-01",1,43,20,19,70,11,3
"2019-11-01",1,39,18,18,65,11,3
"2019-12-01",1,36,17,16,65,10,3
"2020-01-01",1,45,22,20,77,12,3
"2020-02-01",1,45,24,19,75,12,3
"2020-03-01",1,37,40,18,64,11,3
"2020-04-01",1,36,27,16,56,11,3
"2020-05-01",1,42,25,16,68,11,3
"2020-06-01",1,48,28,19,82,12,3
"2020-07-01",2,51,30,21,81,12,4
"2020-08-01",1,47,27,19,82,12,3
"2020-09-01",1,49,25,18,70,12,4
"2020-10-01",1,45,23,16,67,12,3
"2020-11-01",1,40,21,16,60,11,3
"2020-12-01",1,39,19,15,61,11,3
"2021-01-01",1,44,25,17,69,13,3
"2021-02-01",1,46,25,18,74,14,3
"2021-03-01",1,49,25,19,72,13,4
"2021-04-01",1,47,24,18,73,13,3
"2021-05-01",1,44,21,17,74,13,3
"2021-06-01",1,45,20,19,81,12,3
"2021-07-01",1,43,21,18,81,12,4
"2021-08-01",1,44,19,19,78,12,4
"2021-09-01",1,44,20,18,73,13,3
"2021-10-01",1,44,19,18,71,13,3
"2021-11-01",1,42,18,17,68,13,4
"2021-12-01",1,35,18,16,65,12,3
"2022-01-01",1,46,21,18,73,14,3
"2022-02-01",1,48,21,19,74,15,4
"2022-03-01",1,49,22,20,74,14,3
"2022-04-01",1,48,22,22,73,14,4
"2022-05-01",1,45,20,19,70,13,4
"2022-06-01",1,43,20,20,71,12,3
"2022-07-01",1,43,21,20,74,12,3
"2022-08-01",1,42,20,20,74,12,3
"2022-09-01",1,41,20,17,65,12,3
"2022-10-01",1,42,20,18,61,12,3
"2022-11-01",1,36,16,16,58,12,3
"2022-12-01",1,35,15,15,58,11,3
"2023-01-01",1,43,19,19,65,13,3
"2023-02-01",1,45,19,19,65,14,3
"2023-03-01",1,44,19,19,65,13,3
"2023-04-01",1,45,20,17,65,12,3
"2023-05-01",1,41,19,18,63,12,3
"2023-06-01",1,44,20,18,71,12,3
"2023-07-01",1,42,20,18,70,13,3
"2023-08-01",1,42,19,19,68,12,3
"2023-09-01",1,42,18,17,65,13,3
"2023-10-01",1,40,17,17,56,12,3
"2023-11-01",1,38,17,17,54,12,3
"2023-12-01",1,35,17,15,53,13,3
"2024-01-01",1,44,20,19,60,14,3
"2024-02-01",1,44,21,20,61,15,4
"2024-03-01",1,45,21,19,61,15,4
"2024-04-01",1,46,21,19,62,14,3
"2024-05-01",1,45,19,19,61,14,4
"2024-06-01",1,45,21,18,63,14,4
"2024-07-01",1,42,20,19,63,14,4
"2024-08-01",1,43,21,20,63,14,4
"2024-09-01",1,44,22,24,61,15,6
"2024-10-01",1,43,20,19,56,16,5
"2024-11-01",1,40,18,18,56,15,7
"2024-12-01",1,39,18,17,53,14,4
"2025-01-01",1,47,21,20,64,16,5
"2025-02-01",1,49,23,21,63,17,4
"2025-03-01",1,48,24,21,64,16,4
"2025-04-01",1,50,23,21,63,15,3
"2025-05-01",1,46,20,21,63,15,3
"2025-06-01",1,50,22,20,67,18,4
"2025-07-01",1,54,25,21,77,20,5
"2025-08-01",1,66,29,30,83,32,16
"2025-09-01",1,62,32,30,77,32,13
"2025-10-01",1,62,30,29,69,31,13
"2025-11-01",1,59,28,31,72,29,22
"2025-12-01",1,59,28,30,67,29,16
"2026-01-01",1,68,29,31,74,37,14
"2026-02-01",1,85,36,38,83,39,16
"2026-03-01",1,76,39,35,100,36,12
"2026-04-01",1,74,35,32,90,30,8
