"Time","innocent","purity","trust","faith","simplicity","hope","safety","wonder"
"2017-12-01",3,2,28,13,1,26,26,40
"2018-01-01",3,1,31,13,1,26,29,28
"2018-02-01",3,2,31,13,1,28,33,30
"2018-03-01",3,1,31,13,1,29,32,26
"2018-04-01",3,1,32,13,1,23,29,21
"2018-05-01",4,1,30,12,2,24,30,20
"2018-06-01",3,1,29,11,2,23,29,19
"2018-07-01",3,1,29,13,1,23,29,18
"2018-08-01",3,1,31,13,1,24,31,18
"2018-09-01",3,1,28,12,1,23,31,18
"2018-10-01",3,1,30,12,1,24,32,18
"2018-11-01",3,1,29,12,1,24,30,18
"2018-12-01",4,1,26,11,1,23,26,19
"2019-01-01",3,1,29,11,1,23,30,17
"2019-02-01",4,2,31,12,1,25,31,16
"2019-03-01",4,2,30,11,1,24,33,21
"2019-04-01",3,1,32,11,1,27,30,20
"2019-05-01",3,1,30,10,1,23,28,17
"2019-06-01",3,1,28,11,1,27,30,18
"2019-07-01",3,2,30,11,1,25,29,16
"2019-08-01",3,1,31,12,1,24,30,15
"2019-09-01",3,2,29,12,1,24,31,14
"2019-10-01",3,1,29,11,1,23,32,16
"2019-11-01",3,2,28,11,1,24,30,15
"2019-12-01",3,1,25,11,1,26,27,17
"2020-01-01",3,2,29,11,1,24,31,16
"2020-02-01",3,2,30,11,1,24,31,16
"2020-03-01",3,1,30,12,1,24,31,15
"2020-04-01",3,4,27,12,1,28,26,17
"2020-05-01",4,2,28,11,2,27,29,19
"2020-06-01",4,2,30,12,2,25,29,15
"2020-07-01",3,2,32,11,2,27,29,15
"2020-08-01",3,2,31,11,1,26,29,20
"2020-09-01",3,2,29,11,1,25,31,16
"2020-10-01",3,13,28,11,1,34,30,17
"2020-11-01",3,3,27,11,1,25,26,16
"2020-12-01",3,3,27,10,1,26,26,44
"2021-01-01",3,2,30,11,1,25,28,29
"2021-02-01",3,2,31,10,1,24,29,21
"2021-03-01",3,2,30,11,1,24,38,21
"2021-04-01",3,2,32,11,1,24,27,20
"2021-05-01",7,2,33,11,1,25,27,18
"2021-06-01",4,2,31,9,1,24,28,15
"2021-07-01",3,2,29,10,1,27,27,16
"2021-08-01",3,2,31,10,1,25,27,15
"2021-09-01",3,2,29,11,1,25,30,15
"2021-10-01",3,2,30,10,1,23,30,15
"2021-11-01",3,3,29,10,1,24,28,14
"2021-12-01",3,2,28,11,1,25,27,14
"2022-01-01",3,3,31,12,1,26,30,15
"2022-02-01",3,3,31,12,1,26,31,15
"2022-03-01",3,2,31,13,1,25,35,15
"2022-04-01",3,2,32,12,1,27,30,15
"2022-05-01",3,2,29,11,1,25,31,15
"2022-06-01",3,3,30,11,1,25,30,14
"2022-07-01",3,6,29,11,1,26,28,16
"2022-08-01",3,3,30,11,1,25,30,15
"2022-09-01",3,3,30,11,1,24,41,14
"2022-10-01",3,3,30,11,1,24,31,14
"2022-11-01",3,4,27,10,1,23,28,16
"2022-12-01",3,5,26,10,1,24,27,15
"2023-01-01",3,7,30,12,1,25,31,14
"2023-02-01",3,3,31,11,1,26,32,15
"2023-03-01",5,3,31,11,1,25,32,15
"2023-04-01",3,4,29,11,1,26,29,13
"2023-05-01",3,3,30,11,1,23,31,14
"2023-06-01",3,3,30,11,1,24,31,15
"2023-07-01",3,3,30,10,1,23,30,14
"2023-08-01",3,2,29,11,1,24,31,14
"2023-09-01",3,2,29,11,1,26,30,14
"2023-10-01",3,3,29,11,1,23,32,21
"2023-11-01",3,3,29,11,1,22,31,19
"2023-12-01",3,3,28,11,1,25,27,18
"2024-01-01",3,3,32,11,1,22,31,17
"2024-02-01",3,3,33,11,1,24,35,16
"2024-03-01",3,9,33,12,1,25,33,16
"2024-04-01",3,8,32,12,1,25,33,14
"2024-05-01",3,5,33,11,1,26,33,14
"2024-06-01",8,3,31,12,1,23,31,15
"2024-07-01",10,3,32,11,1,25,32,14
"2024-08-01",7,3,33,12,1,24,34,14
"2024-09-01",4,3,30,11,1,25,35,14
"2024-10-01",4,3,32,11,1,23,35,15
"2024-11-01",4,3,30,11,1,23,33,15
"2024-12-01",4,3,30,12,1,23,30,16
"2025-01-01",4,3,31,12,1,23,35,14
"2025-02-01",3,3,34,12,1,26,38,14
"2025-03-01",3,3,34,13,1,23,38,14
"2025-04-01",3,4,34,13,1,24,35,14
"2025-05-01",3,3,33,11,1,25,36,13
"2025-06-01",3,3,34,12,1,25,41,13
"2025-07-01",3,3,35,12,1,26,46,15
"2025-08-01",3,4,44,14,1,26,76,16
"2025-09-01",4,4,42,14,2,25,78,15
"2025-10-01",4,4,40,15,1,26,77,16
"2025-11-01",3,4,42,14,1,25,77,16
"2025-12-01",3,4,41,14,1,27,75,16
"2026-01-01",4,4,45,15,1,28,76,20
"2026-02-01",4,4,61,19,2,31,95,20
"2026-03-01",3,4,53,15,2,28,100,18
"2026-04-01",3,4,47,15,2,28,84,17
