"Time","orphan","abandonment","loneliness","vulnerability","grief","survival","isolation","loss"
"2017-12-01",3,0,1,1,2,19,4,40
"2018-01-01",3,0,1,2,2,20,4,48
"2018-02-01",3,0,1,1,3,28,4,45
"2018-03-01",3,0,1,1,3,24,4,48
"2018-04-01",3,0,1,1,3,19,4,47
"2018-05-01",3,0,1,1,3,17,4,46
"2018-06-01",3,0,1,1,2,17,3,44
"2018-07-01",3,0,1,1,2,16,3,45
"2018-08-01",3,0,1,1,2,14,3,40
"2018-09-01",2,0,1,1,2,14,4,43
"2018-10-01",2,1,1,1,3,12,4,44
"2018-11-01",2,0,1,1,3,14,4,39
"2018-12-01",2,0,1,1,3,13,4,40
"2019-01-01",2,1,1,1,3,13,5,48
"2019-02-01",2,1,1,1,3,12,5,47
"2019-03-01",2,1,1,1,3,13,5,48
"2019-04-01",2,1,1,1,3,11,4,45
"2019-05-01",2,1,1,2,3,11,4,43
"2019-06-01",2,0,1,1,3,12,4,46
"2019-07-01",2,0,1,2,3,14,4,44
"2019-08-01",2,1,1,1,3,13,4,43
"2019-09-01",3,1,1,2,3,12,4,43
"2019-10-01",3,0,1,1,3,11,4,43
"2019-11-01",2,0,1,2,3,12,5,43
"2019-12-01",2,0,1,1,3,12,4,41
"2020-01-01",2,0,1,2,3,12,5,48
"2020-02-01",2,1,1,2,3,13,5,46
"2020-03-01",2,0,2,2,3,16,21,40
"2020-04-01",3,0,2,2,3,16,14,46
"2020-05-01",3,1,1,1,3,16,9,54
"2020-06-01",2,1,1,1,3,15,7,51
"2020-07-01",2,1,1,2,3,14,7,53
"2020-08-01",2,1,1,1,3,14,6,49
"2020-09-01",2,1,1,2,3,14,8,49
"2020-10-01",2,0,1,1,3,13,9,52
"2020-11-01",2,0,1,1,3,13,8,47
"2020-12-01",2,0,1,1,3,14,8,46
"2021-01-01",2,1,1,1,3,14,8,53
"2021-02-01",3,1,1,1,3,15,7,51
"2021-03-01",2,0,1,2,4,13,6,52
"2021-04-01",2,1,1,1,3,13,7,50
"2021-05-01",2,0,1,1,3,12,6,50
"2021-06-01",3,1,1,1,3,12,6,50
"2021-07-01",2,1,1,1,3,12,10,50
"2021-08-01",2,1,1,1,3,12,8,50
"2021-09-01",2,1,1,2,3,11,7,47
"2021-10-01",2,1,1,2,3,11,7,46
"2021-11-01",2,1,1,2,3,11,7,44
"2021-12-01",2,0,1,4,3,12,13,43
"2022-01-01",3,1,1,2,4,14,18,51
"2022-02-01",2,1,1,2,4,13,11,52
"2022-03-01",2,1,1,3,4,14,11,54
"2022-04-01",3,1,1,2,4,14,9,53
"2022-05-01",2,1,1,2,4,13,7,50
"2022-06-01",2,1,1,2,3,14,7,48
"2022-07-01",4,1,1,2,3,13,7,49
"2022-08-01",11,1,1,2,3,13,5,47
"2022-09-01",6,1,1,2,4,12,6,49
"2022-10-01",4,1,1,2,4,12,6,51
"2022-11-01",2,1,1,2,4,11,6,49
"2022-12-01",2,1,1,2,3,12,6,46
"2023-01-01",2,1,1,2,4,13,5,54
"2023-02-01",2,1,1,2,4,13,5,54
"2023-03-01",2,1,1,2,4,12,5,56
"2023-04-01",2,1,1,2,4,12,5,55
"2023-05-01",2,1,1,2,4,11,5,52
"2023-06-01",2,1,2,2,3,11,4,51
"2023-07-01",2,1,1,2,3,13,4,50
"2023-08-01",2,1,1,2,3,12,4,50
"2023-09-01",2,1,1,2,4,12,5,49
"2023-10-01",2,1,1,2,4,14,5,51
"2023-11-01",2,1,1,2,4,15,5,49
"2023-12-01",2,1,1,2,4,15,5,48
"2024-01-01",2,1,1,2,5,15,5,56
"2024-02-01",2,1,1,2,4,14,5,53
"2024-03-01",2,1,1,2,4,14,5,56
"2024-04-01",2,1,1,2,4,14,5,52
"2024-05-01",2,1,1,2,4,14,4,52
"2024-06-01",2,1,1,2,3,13,4,51
"2024-07-01",3,1,1,2,3,13,4,45
"2024-08-01",2,1,1,2,4,13,5,49
"2024-09-01",2,1,1,2,4,14,5,51
"2024-10-01",2,1,1,2,4,15,6,50
"2024-11-01",2,1,1,2,4,15,5,52
"2024-12-01",2,1,1,2,4,16,5,49
"2025-01-01",2,1,1,2,4,16,6,56
"2025-02-01",2,1,1,2,4,16,5,55
"2025-03-01",2,1,1,2,4,16,5,59
"2025-04-01",2,1,1,2,4,15,5,54
"2025-05-01",2,1,1,2,4,15,5,54
"2025-06-01",2,1,1,2,4,16,5,55
"2025-07-01",2,1,1,3,4,16,5,58
"2025-08-01",2,1,2,5,5,21,6,71
"2025-09-01",3,1,2,7,4,22,7,79
"2025-10-01",2,1,2,8,5,21,7,73
"2025-11-01",3,1,2,7,5,21,7,71
"2025-12-01",2,1,2,7,5,22,7,76
"2026-01-01",2,1,2,5,5,24,7,78
"2026-02-01",3,2,2,10,8,27,10,97
"2026-03-01",3,2,3,7,6,26,9,100
"2026-04-01",2,1,2,6,5,23,8,93
