"Time","warrior","courage","battle","discipline","strength","honor","victory","resilience"
"2017-12-01",24,5,71,4,21,48,15,2
"2018-01-01",23,5,68,5,23,48,16,2
"2018-02-01",24,6,74,5,24,49,16,3
"2018-03-01",22,6,68,5,24,47,16,3
"2018-04-01",23,6,71,5,23,46,16,2
"2018-05-01",24,6,72,5,22,53,17,3
"2018-06-01",24,5,69,5,22,53,14,2
"2018-07-01",25,5,74,5,22,54,15,2
"2018-08-01",23,5,74,5,21,66,15,2
"2018-09-01",23,5,71,6,23,54,14,3
"2018-10-01",22,5,64,5,23,63,14,3
"2018-11-01",21,5,66,5,24,70,15,3
"2018-12-01",20,5,78,5,22,65,16,2
"2019-01-01",20,5,68,5,23,68,15,3
"2019-02-01",19,6,100,5,24,59,19,3
"2019-03-01",20,6,76,5,24,53,15,3
"2019-04-01",22,6,70,5,23,49,16,3
"2019-05-01",22,6,72,5,22,46,16,3
"2019-06-01",25,5,60,5,22,41,14,2
"2019-07-01",24,5,66,4,21,42,13,2
"2019-08-01",22,5,61,5,23,48,15,2
"2019-09-01",24,6,59,6,24,42,14,3
"2019-10-01",20,6,60,5,23,40,14,3
"2019-11-01",22,6,63,5,24,40,14,3
"2019-12-01",19,5,62,4,22,39,14,2
"2020-01-01",21,6,57,5,23,38,14,3
"2020-02-01",20,6,64,5,25,37,14,3
"2020-03-01",19,6,60,4,23,31,13,4
"2020-04-01",23,6,71,4,26,34,13,4
"2020-05-01",24,6,70,4,25,36,14,4
"2020-06-01",21,6,64,4,26,37,13,4
"2020-07-01",39,5,64,4,24,36,14,3
"2020-08-01",24,5,56,4,24,35,13,3
"2020-09-01",22,6,59,6,27,32,12,4
"2020-10-01",20,6,54,6,28,29,13,4
"2020-11-01",21,5,52,5,24,31,16,4
"2020-12-01",21,5,54,5,24,34,12,3
"2021-01-01",22,6,52,5,25,36,13,3
"2021-02-01",20,5,51,5,26,38,13,3
"2021-03-01",18,5,56,5,25,33,13,3
"2021-04-01",19,5,52,5,25,27,14,3
"2021-05-01",21,6,53,5,24,26,13,3
"2021-06-01",21,6,51,4,23,27,12,3
"2021-07-01",21,5,53,4,23,25,13,3
"2021-08-01",20,6,53,5,24,25,13,3
"2021-09-01",18,6,52,6,25,23,12,3
"2021-10-01",18,5,53,6,25,22,12,3
"2021-11-01",18,5,51,5,25,25,12,3
"2021-12-01",19,5,52,5,23,24,13,3
"2022-01-01",21,6,60,6,28,26,13,3
"2022-02-01",22,6,60,7,31,26,14,4
"2022-03-01",23,6,62,7,33,27,15,4
"2022-04-01",22,6,62,6,32,28,15,4
"2022-05-01",21,6,61,5,29,29,16,4
"2022-06-01",22,5,59,6,25,28,14,4
"2022-07-01",24,5,58,5,25,32,24,3
"2022-08-01",24,5,55,6,25,29,14,3
"2022-09-01",21,6,59,7,28,30,13,4
"2022-10-01",22,6,56,7,27,29,13,4
"2022-11-01",28,5,62,6,26,28,15,4
"2022-12-01",22,5,60,5,24,31,14,3
"2023-01-01",24,6,60,6,28,36,14,4
"2023-02-01",23,6,61,7,28,37,15,4
"2023-03-01",20,6,58,6,28,41,14,4
"2023-04-01",21,5,58,6,26,38,14,4
"2023-05-01",20,6,58,6,26,35,14,4
"2023-06-01",20,6,55,6,26,34,14,5
"2023-07-01",22,5,54,5,24,36,13,4
"2023-08-01",22,5,54,6,27,36,14,4
"2023-09-01",21,5,55,7,29,39,14,4
"2023-10-01",19,6,61,6,27,37,14,5
"2023-11-01",19,5,56,6,27,42,15,4
"2023-12-01",22,5,60,5,27,44,15,4
"2024-01-01",21,6,61,6,29,46,15,4
"2024-02-01",23,6,59,6,29,43,16,5
"2024-03-01",23,6,59,6,28,44,16,5
"2024-04-01",21,6,60,6,28,43,16,5
"2024-05-01",20,6,63,6,28,44,17,5
"2024-06-01",20,5,57,5,27,53,15,4
"2024-07-01",19,5,56,5,26,50,16,4
"2024-08-01",21,5,60,6,30,48,15,5
"2024-09-01",21,6,60,6,28,48,15,5
"2024-10-01",20,6,64,6,29,44,14,6
"2024-11-01",21,5,61,5,28,47,18,6
"2024-12-01",22,5,63,5,28,46,16,5
"2025-01-01",21,5,61,6,30,50,16,5
"2025-02-01",21,6,65,6,31,48,15,6
"2025-03-01",21,6,64,8,31,47,15,6
"2025-04-01",21,6,63,6,31,46,16,5
"2025-05-01",20,6,66,6,29,48,19,5
"2025-06-01",19,5,58,5,28,48,17,5
"2025-07-01",21,5,59,6,32,54,16,5
"2025-08-01",23,6,66,8,44,57,17,9
"2025-09-01",22,6,82,8,46,61,17,10
"2025-10-01",22,6,91,8,45,57,18,10
"2025-11-01",20,6,82,8,47,60,23,10
"2025-12-01",23,6,82,8,43,63,22,9
"2026-01-01",24,6,88,9,47,62,20,10
"2026-02-01",27,8,93,14,53,63,27,15
"2026-03-01",23,7,96,10,60,61,20,12
"2026-04-01",26,6,76,9,62,57,21,11
