"Time","seeker","adventure","freedom","journey","purpose","meaning","discovery","exploration"
"2017-12-01",0,2,1,1,1,39,1,0
"2018-01-01",0,2,1,1,1,41,2,0
"2018-02-01",0,2,1,1,1,43,2,0
"2018-03-01",0,2,1,1,1,44,1,0
"2018-04-01",0,2,1,1,1,41,1,0
"2018-05-01",0,2,1,1,1,42,1,0
"2018-06-01",0,2,1,1,1,42,1,0
"2018-07-01",0,2,1,1,1,45,1,0
"2018-08-01",0,2,1,1,1,45,1,0
"2018-09-01",0,2,1,1,1,47,1,0
"2018-10-01",0,2,1,1,1,49,2,0
"2018-11-01",0,2,1,1,1,48,1,0
"2018-12-01",0,2,1,1,1,47,1,0
"2019-01-01",0,2,1,1,1,47,2,0
"2019-02-01",0,2,1,1,1,50,2,0
"2019-03-01",0,2,1,1,1,50,1,0
"2019-04-01",0,2,1,1,1,51,2,0
"2019-05-01",0,2,1,1,1,49,1,0
"2019-06-01",0,2,1,1,1,52,1,0
"2019-07-01",0,2,1,1,1,54,1,0
"2019-08-01",0,2,1,1,1,53,1,0
"2019-09-01",0,2,1,1,1,55,1,0
"2019-10-01",0,2,1,1,1,53,1,0
"2019-11-01",0,2,1,1,1,56,1,0
"2019-12-01",0,2,1,1,1,56,1,0
"2020-01-01",0,2,1,1,1,57,1,0
"2020-02-01",0,2,1,1,1,57,1,0
"2020-03-01",0,1,1,1,1,60,1,0
"2020-04-01",0,1,1,1,1,66,1,0
"2020-05-01",0,1,1,1,1,66,1,0
"2020-06-01",0,2,1,1,1,70,1,0
"2020-07-01",0,2,1,1,1,67,1,0
"2020-08-01",0,2,1,1,1,66,1,0
"2020-09-01",0,2,1,1,2,72,1,0
"2020-10-01",0,1,1,1,1,72,1,0
"2020-11-01",0,1,1,1,1,68,1,0
"2020-12-01",0,2,1,1,1,71,1,0
"2021-01-01",0,2,1,1,1,75,2,0
"2021-02-01",0,1,1,1,1,75,2,0
"2021-03-01",0,1,1,1,1,73,1,0
"2021-04-01",0,1,1,1,1,74,1,0
"2021-05-01",0,2,1,1,1,78,1,0
"2021-06-01",0,2,1,1,1,79,1,0
"2021-07-01",0,2,1,1,1,80,1,0
"2021-08-01",0,2,1,1,1,80,1,0
"2021-09-01",0,1,1,1,1,82,1,0
"2021-10-01",0,1,1,1,1,76,1,0
"2021-11-01",0,1,1,1,1,77,1,0
"2021-12-01",0,2,1,1,1,77,1,0
"2022-01-01",0,2,2,1,1,87,2,0
"2022-02-01",0,2,2,1,2,90,2,0
"2022-03-01",0,2,1,1,2,94,1,0
"2022-04-01",0,2,1,1,2,92,1,0
"2022-05-01",0,2,1,1,1,93,1,0
"2022-06-01",0,2,1,1,1,95,1,0
"2022-07-01",0,2,1,1,1,97,1,0
"2022-08-01",0,2,2,1,1,96,1,0
"2022-09-01",0,2,1,1,2,99,1,0
"2022-10-01",0,1,1,1,2,93,1,0
"2022-11-01",0,1,1,1,2,93,1,0
"2022-12-01",0,2,1,1,1,87,1,0
"2023-01-01",0,2,1,1,1,95,1,0
"2023-02-01",0,2,1,1,2,100,1,0
"2023-03-01",0,2,1,1,2,94,1,0
"2023-04-01",0,2,1,1,1,90,1,0
"2023-05-01",0,2,1,1,1,90,1,0
"2023-06-01",0,2,1,1,1,94,1,0
"2023-07-01",0,2,4,1,1,92,1,0
"2023-08-01",0,2,2,1,1,94,1,0
"2023-09-01",0,2,2,1,2,97,1,0
"2023-10-01",0,2,2,1,2,99,1,0
"2023-11-01",0,2,1,1,2,96,1,0
"2023-12-01",0,2,1,1,1,93,1,0
"2024-01-01",0,2,2,1,1,89,1,0
"2024-02-01",0,2,1,1,2,85,1,0
"2024-03-01",0,2,1,1,2,82,1,0
"2024-04-01",0,2,1,1,2,80,1,0
"2024-05-01",0,2,1,1,2,82,1,0
"2024-06-01",0,2,1,1,1,80,1,0
"2024-07-01",0,2,1,1,1,81,1,0
"2024-08-01",0,2,1,1,1,85,1,0
"2024-09-01",0,2,1,1,2,79,1,0
"2024-10-01",0,2,1,1,2,82,1,0
"2024-11-01",0,2,1,1,2,81,1,0
"2024-12-01",0,2,1,1,1,78,1,0
"2025-01-01",0,2,1,1,1,80,1,0
"2025-02-01",0,2,1,1,2,80,1,0
"2025-03-01",0,2,1,1,2,78,1,0
"2025-04-01",0,2,1,1,2,76,1,0
"2025-05-01",0,2,1,1,1,74,1,0
"2025-06-01",0,2,1,1,1,73,1,0
"2025-07-01",0,2,1,1,1,77,1,0
"2025-08-01",0,2,2,1,2,75,2,0
"2025-09-01",0,2,2,1,2,78,2,0
"2025-10-01",0,2,2,1,2,80,2,0
"2025-11-01",0,2,1,1,2,74,2,0
"2025-12-01",0,2,1,1,2,71,2,0
"2026-01-01",0,2,2,1,2,73,2,0
"2026-02-01",0,2,2,2,2,72,2,0
"2026-03-01",0,2,2,1,2,73,2,0
"2026-04-01",0,2,2,1,2,68,2,0
