"Time","lover","passion","intimacy","devotion","romance","desire","attraction","pleasure"
"2017-12-01",30,33,2,3,66,23,12,12
"2018-01-01",28,34,2,3,64,22,12,13
"2018-02-01",29,33,2,3,71,20,14,14
"2018-03-01",27,42,2,3,70,21,12,14
"2018-04-01",26,34,2,3,70,20,12,13
"2018-05-01",27,33,2,3,71,20,12,14
"2018-06-01",27,30,2,3,71,20,11,14
"2018-07-01",32,30,2,4,72,19,13,15
"2018-08-01",28,31,2,4,67,17,13,14
"2018-09-01",26,31,3,3,69,19,13,13
"2018-10-01",27,31,2,3,66,20,13,14
"2018-11-01",27,33,3,3,67,20,12,13
"2018-12-01",28,36,2,3,62,19,12,12
"2019-01-01",26,38,2,3,64,19,12,12
"2019-02-01",27,36,3,4,67,18,12,12
"2019-03-01",25,34,2,3,67,17,12,13
"2019-04-01",25,48,2,3,65,17,13,14
"2019-05-01",24,33,2,3,57,16,12,13
"2019-06-01",25,33,2,3,62,16,13,13
"2019-07-01",25,33,2,3,61,15,14,14
"2019-08-01",38,33,2,3,58,16,14,15
"2019-09-01",31,32,2,3,55,16,14,14
"2019-10-01",29,35,2,3,57,17,12,13
"2019-11-01",32,30,2,3,62,17,11,12
"2019-12-01",31,32,2,3,62,16,11,12
"2020-01-01",29,32,3,3,62,16,13,12
"2020-02-01",33,32,3,3,56,16,12,13
"2020-03-01",27,30,3,3,62,15,9,11
"2020-04-01",32,39,3,3,70,16,11,12
"2020-05-01",31,31,3,3,69,17,11,13
"2020-06-01",26,34,3,3,70,15,11,14
"2020-07-01",30,36,3,3,70,20,13,16
"2020-08-01",27,34,3,3,68,18,12,15
"2020-09-01",29,34,3,3,65,17,12,15
"2020-10-01",27,31,3,3,66,17,11,14
"2020-11-01",26,30,3,3,61,16,10,12
"2020-12-01",28,30,3,3,73,17,11,13
"2021-01-01",28,29,3,3,67,17,10,13
"2021-02-01",29,29,3,3,64,16,11,13
"2021-03-01",27,33,3,3,56,16,11,13
"2021-04-01",27,36,3,3,58,16,11,14
"2021-05-01",28,30,3,3,68,17,12,14
"2021-06-01",25,30,3,3,64,20,12,16
"2021-07-01",31,32,3,3,62,21,13,16
"2021-08-01",32,30,3,3,66,21,13,16
"2021-09-01",38,29,3,3,59,23,11,14
"2021-10-01",26,29,3,3,58,22,11,15
"2021-11-01",28,28,3,3,59,21,11,13
"2021-12-01",28,30,3,3,61,21,10,13
"2022-01-01",28,32,3,3,63,21,11,16
"2022-02-01",27,31,3,4,60,26,13,16
"2022-03-01",27,31,3,3,63,22,13,17
"2022-04-01",27,41,3,3,65,22,14,17
"2022-05-01",27,31,3,3,68,20,12,17
"2022-06-01",26,32,4,3,70,20,12,17
"2022-07-01",28,33,3,3,71,21,13,18
"2022-08-01",27,32,3,4,67,21,12,17
"2022-09-01",26,30,3,3,63,21,12,15
"2022-10-01",26,30,3,3,67,20,12,14
"2022-11-01",28,27,3,8,59,20,11,14
"2022-12-01",38,30,3,7,66,22,11,13
"2023-01-01",29,30,3,10,73,21,12,14
"2023-02-01",29,31,3,7,74,21,11,15
"2023-03-01",28,31,3,5,65,18,11,15
"2023-04-01",29,37,3,4,65,18,14,16
"2023-05-01",31,28,3,4,63,18,17,16
"2023-06-01",30,29,3,4,69,18,12,17
"2023-07-01",30,31,3,4,70,17,13,16
"2023-08-01",30,30,3,4,73,21,13,16
"2023-09-01",30,29,3,4,72,20,13,16
"2023-10-01",30,29,3,5,67,18,14,14
"2023-11-01",30,29,3,4,64,17,11,13
"2023-12-01",32,31,3,5,71,17,11,14
"2024-01-01",32,32,4,5,69,18,11,14
"2024-02-01",40,32,3,4,71,18,11,15
"2024-03-01",33,42,3,4,66,18,11,14
"2024-04-01",32,31,3,4,66,17,12,14
"2024-05-01",31,30,3,4,71,17,14,14
"2024-06-01",30,30,3,4,73,16,13,15
"2024-07-01",29,29,3,4,72,17,12,16
"2024-08-01",29,30,3,4,75,18,12,15
"2024-09-01",28,28,3,4,67,18,11,14
"2024-10-01",30,27,3,4,69,17,12,15
"2024-11-01",28,27,3,4,75,18,11,15
"2024-12-01",29,30,4,5,79,18,11,14
"2025-01-01",30,32,4,5,78,17,11,14
"2025-02-01",30,31,4,5,74,19,11,14
"2025-03-01",28,31,4,4,70,18,11,15
"2025-04-01",27,41,4,4,74,19,11,15
"2025-05-01",29,32,4,5,76,21,11,15
"2025-06-01",26,30,4,4,73,23,11,15
"2025-07-01",30,30,4,5,84,25,11,15
"2025-08-01",31,32,5,5,86,26,14,16
"2025-09-01",31,28,5,5,83,25,13,14
"2025-10-01",31,29,5,5,84,25,14,14
"2025-11-01",30,29,5,5,87,20,13,14
"2025-12-01",35,53,5,6,91,21,13,14
"2026-01-01",34,30,6,6,95,22,13,15
"2026-02-01",68,33,7,7,100,28,16,16
"2026-03-01",29,35,6,6,86,22,25,16
"2026-04-01",31,43,6,6,92,21,20,15
