"Time","destroyer","destruction","chaos","rebellion","disaster","anarchy","ruin","upheaval"
"2017-12-01",18,21,39,18,100,29,14,1
"2018-01-01",15,22,39,15,66,35,15,1
"2018-02-01",13,22,38,16,48,35,15,1
"2018-03-01",12,22,39,15,45,41,15,1
"2018-04-01",12,22,38,16,37,36,15,1
"2018-05-01",12,22,40,15,36,28,15,1
"2018-06-01",10,22,39,11,39,36,15,1
"2018-07-01",10,28,38,9,36,35,16,1
"2018-08-01",11,28,36,11,38,34,15,1
"2018-09-01",11,30,36,17,40,40,15,1
"2018-10-01",12,29,36,19,41,31,16,1
"2018-11-01",11,29,36,21,40,28,18,1
"2018-12-01",14,25,38,18,33,25,18,1
"2019-01-01",18,26,42,17,37,27,18,1
"2019-02-01",17,25,42,18,39,25,17,1
"2019-03-01",15,24,41,18,35,27,16,1
"2019-04-01",16,23,38,25,36,23,21,1
"2019-05-01",13,22,36,18,39,23,17,1
"2019-06-01",13,22,37,14,44,24,16,1
"2019-07-01",13,21,39,14,37,24,16,1
"2019-08-01",13,22,37,15,35,25,15,1
"2019-09-01",13,22,36,22,37,25,15,1
"2019-10-01",11,19,37,44,34,24,15,1
"2019-11-01",12,21,37,20,46,24,14,1
"2019-12-01",16,18,43,18,34,22,15,1
"2020-01-01",14,20,39,19,39,23,17,1
"2020-02-01",12,20,39,19,41,23,15,1
"2020-03-01",12,21,44,14,70,26,15,1
"2020-04-01",14,24,47,16,83,37,17,1
"2020-05-01",15,25,44,16,46,36,17,1
"2020-06-01",13,23,45,14,48,46,16,1
"2020-07-01",13,22,41,11,46,36,17,1
"2020-08-01",13,22,39,13,42,37,17,1
"2020-09-01",11,24,42,24,45,34,16,1
"2020-10-01",11,21,37,17,45,32,17,1
"2020-11-01",12,21,42,15,39,35,21,1
"2020-12-01",13,20,40,13,39,30,23,1
"2021-01-01",12,21,42,14,41,34,19,1
"2021-02-01",12,24,42,14,46,30,19,1
"2021-03-01",11,21,62,13,40,31,19,1
"2021-04-01",11,23,52,14,42,28,19,1
"2021-05-01",12,21,42,12,42,28,18,1
"2021-06-01",11,19,41,11,37,23,18,1
"2021-07-01",11,20,40,10,41,26,20,1
"2021-08-01",11,19,42,13,46,25,18,1
"2021-09-01",10,19,38,15,58,22,18,1
"2021-10-01",10,19,38,15,49,21,18,1
"2021-11-01",10,17,39,13,40,22,18,1
"2021-12-01",11,18,40,12,40,21,18,1
"2022-01-01",12,21,50,14,54,25,22,1
"2022-02-01",12,24,55,15,57,21,22,1
"2022-03-01",12,27,48,16,64,19,24,1
"2022-04-01",13,24,50,18,49,19,21,1
"2022-05-01",13,24,51,16,46,20,20,1
"2022-06-01",12,21,46,13,45,23,21,1
"2022-07-01",13,20,46,12,40,22,21,1
"2022-08-01",12,19,44,14,41,20,20,1
"2022-09-01",10,22,43,19,45,20,19,1
"2022-10-01",11,22,41,19,55,19,19,1
"2022-11-01",10,20,43,18,45,17,19,1
"2022-12-01",11,21,46,16,40,18,21,1
"2023-01-01",11,21,46,18,43,20,20,1
"2023-02-01",11,22,43,19,61,20,21,1
"2023-03-01",12,21,43,16,48,19,19,1
"2023-04-01",14,20,50,15,54,18,19,1
"2023-05-01",17,20,42,15,53,16,21,1
"2023-06-01",15,19,41,16,59,19,21,1
"2023-07-01",16,18,46,12,46,20,37,1
"2023-08-01",14,19,45,13,47,20,31,1
"2023-09-01",13,20,44,20,49,20,22,1
"2023-10-01",18,22,43,20,47,19,37,1
"2023-11-01",15,21,40,18,42,17,27,1
"2023-12-01",15,20,44,17,43,18,29,1
"2024-01-01",17,21,47,17,46,20,25,1
"2024-02-01",15,24,44,18,47,21,24,1
"2024-03-01",16,22,44,16,43,19,24,1
"2024-04-01",14,23,45,16,43,18,24,1
"2024-05-01",14,23,53,16,44,19,24,1
"2024-06-01",14,20,49,13,43,18,27,1
"2024-07-01",12,20,49,12,46,18,24,1
"2024-08-01",13,21,49,16,45,21,24,1
"2024-09-01",12,23,54,20,46,19,24,1
"2024-10-01",13,26,53,20,61,18,22,1
"2024-11-01",13,22,49,19,48,17,22,1
"2024-12-01",15,21,57,16,46,18,24,1
"2025-01-01",14,22,56,17,57,20,25,1
"2025-02-01",13,23,54,19,52,18,24,1
"2025-03-01",14,24,54,18,54,21,25,1
"2025-04-01",12,24,58,18,46,18,24,1
"2025-05-01",15,25,54,17,50,18,24,1
"2025-06-01",15,23,52,14,49,19,24,1
"2025-07-01",15,23,53,13,47,19,24,1
"2025-08-01",16,27,61,17,57,20,27,1
"2025-09-01",14,26,62,23,53,20,24,1
"2025-10-01",14,28,76,24,53,27,35,1
"2025-11-01",14,27,76,20,58,21,27,1
"2025-12-01",17,27,70,19,58,18,27,1
"2026-01-01",17,29,66,21,62,21,29,1
"2026-02-01",19,44,73,35,88,19,31,2
"2026-03-01",21,34,79,24,88,18,30,1
"2026-04-01",25,30,74,21,65,17,28,1
