"Time","ruler","leadership","authority","power","control","order","responsibility","structure"
"2017-12-01",1,3,5,60,30,28,1,9
"2018-01-01",1,3,4,59,29,27,1,9
"2018-02-01",2,4,4,59,31,27,1,10
"2018-03-01",1,4,4,63,32,28,1,9
"2018-04-01",1,4,4,58,31,27,1,10
"2018-05-01",1,4,4,61,30,28,1,10
"2018-06-01",1,3,4,61,29,26,1,8
"2018-07-01",1,3,4,58,29,26,1,8
"2018-08-01",1,4,4,60,28,27,1,7
"2018-09-01",1,4,4,62,29,27,1,10
"2018-10-01",1,4,4,58,30,29,1,11
"2018-11-01",1,4,4,60,30,27,1,10
"2018-12-01",1,3,4,58,29,29,1,8
"2019-01-01",1,4,4,56,29,27,1,9
"2019-02-01",1,4,4,58,29,29,1,10
"2019-03-01",1,4,4,65,30,30,1,10
"2019-04-01",1,4,4,57,30,31,1,10
"2019-05-01",1,4,4,59,29,29,1,9
"2019-06-01",1,4,4,58,31,28,1,8
"2019-07-01",1,3,4,67,30,27,1,8
"2019-08-01",1,4,4,60,30,27,1,7
"2019-09-01",2,4,4,60,31,29,1,10
"2019-10-01",1,4,4,65,30,27,1,10
"2019-11-01",2,4,4,63,30,37,1,10
"2019-12-01",2,3,4,57,30,36,1,8
"2020-01-01",1,4,4,61,29,32,1,9
"2020-02-01",2,4,4,57,30,30,1,10
"2020-03-01",1,3,4,55,31,40,1,9
"2020-04-01",2,4,4,56,32,56,1,9
"2020-05-01",2,3,4,62,35,47,1,8
"2020-06-01",1,3,4,65,34,40,1,8
"2020-07-01",1,3,4,62,32,38,1,8
"2020-08-01",2,3,4,68,31,38,1,8
"2020-09-01",2,4,4,66,33,47,2,12
"2020-10-01",2,3,4,65,32,39,2,12
"2020-11-01",1,3,4,60,30,40,1,10
"2020-12-01",2,3,4,62,30,38,1,9
"2021-01-01",1,3,4,64,29,38,1,9
"2021-02-01",2,3,4,70,31,35,2,11
"2021-03-01",2,3,4,63,31,36,1,11
"2021-04-01",1,3,4,60,30,37,1,9
"2021-05-01",1,3,4,64,31,35,1,9
"2021-06-01",1,3,4,67,31,33,1,9
"2021-07-01",1,3,4,66,30,37,1,8
"2021-08-01",1,3,4,63,32,34,1,9
"2021-09-01",2,3,4,61,29,35,2,11
"2021-10-01",2,4,4,65,30,35,2,10
"2021-11-01",1,3,4,61,30,33,2,10
"2021-12-01",2,3,4,61,28,42,1,9
"2022-01-01",2,4,4,70,32,44,2,11
"2022-02-01",2,4,4,80,33,41,2,14
"2022-03-01",2,5,5,76,34,42,2,15
"2022-04-01",2,4,4,72,33,38,2,14
"2022-05-01",2,4,4,66,31,38,2,12
"2022-06-01",1,4,4,69,32,36,2,12
"2022-07-01",1,4,4,70,31,39,1,11
"2022-08-01",2,4,4,65,30,36,2,10
"2022-09-01",2,4,4,80,31,37,2,13
"2022-10-01",2,4,4,74,31,37,2,13
"2022-11-01",2,4,4,71,30,35,2,13
"2022-12-01",1,3,4,67,32,33,2,11
"2023-01-01",2,4,4,66,29,36,2,12
"2023-02-01",2,4,5,69,31,38,2,14
"2023-03-01",2,4,4,69,30,37,2,13
"2023-04-01",1,4,4,65,30,36,2,12
"2023-05-01",2,4,4,64,31,36,2,13
"2023-06-01",1,4,4,64,31,35,1,11
"2023-07-01",1,3,4,63,29,34,1,10
"2023-08-01",2,4,4,66,30,36,1,11
"2023-09-01",2,4,4,68,31,36,2,13
"2023-10-01",2,4,4,65,30,38,2,13
"2023-11-01",2,4,4,64,31,35,2,12
"2023-12-01",2,3,4,68,30,37,1,12
"2024-01-01",2,4,4,69,31,36,2,11
"2024-02-01",2,4,4,68,32,37,2,13
"2024-03-01",2,4,4,65,32,37,2,12
"2024-04-01",2,4,4,68,33,37,2,12
"2024-05-01",2,4,4,68,34,37,2,12
"2024-06-01",1,3,4,69,32,36,1,10
"2024-07-01",1,3,4,71,30,36,1,9
"2024-08-01",2,4,4,70,33,37,1,10
"2024-09-01",2,4,4,73,32,39,2,12
"2024-10-01",2,5,4,70,32,38,2,12
"2024-11-01",2,4,4,67,33,39,2,12
"2024-12-01",2,3,4,68,31,40,1,10
"2025-01-01",2,4,4,72,33,43,2,11
"2025-02-01",2,5,5,69,36,42,2,12
"2025-03-01",2,5,4,69,34,41,2,11
"2025-04-01",2,4,4,70,35,42,2,11
"2025-05-01",2,4,4,72,35,40,2,11
"2025-06-01",2,5,4,69,34,39,2,11
"2025-07-01",2,4,5,70,37,40,2,11
"2025-08-01",2,7,7,88,46,50,2,14
"2025-09-01",2,8,7,85,49,51,3,17
"2025-10-01",2,7,7,88,45,46,3,16
"2025-11-01",2,7,7,87,47,50,3,16
"2025-12-01",2,7,7,85,46,51,2,17
"2026-01-01",2,9,8,89,46,49,2,19
"2026-02-01",2,16,11,100,62,57,4,24
"2026-03-01",2,14,9,98,54,56,3,19
"2026-04-01",2,9,8,96,56,51,3,17
