"Time","sage","wisdom","knowledge","insight","truth","clarity","understanding","reflection"
"2017-12-01",37,28,33,15,43,7,16,14
"2018-01-01",39,27,33,18,54,7,17,15
"2018-02-01",44,26,34,19,48,7,20,16
"2018-03-01",41,26,37,19,49,7,19,17
"2018-04-01",36,25,34,16,79,7,18,15
"2018-05-01",39,25,36,17,55,8,18,16
"2018-06-01",39,26,31,19,49,7,15,13
"2018-07-01",39,27,30,18,49,7,15,13
"2018-08-01",38,29,33,17,45,7,16,13
"2018-09-01",40,25,37,19,47,7,20,16
"2018-10-01",40,25,37,19,47,7,19,18
"2018-11-01",44,24,34,31,43,7,18,17
"2018-12-01",40,24,30,18,45,7,16,14
"2019-01-01",45,28,34,19,46,7,18,16
"2019-02-01",43,26,35,18,50,8,20,16
"2019-03-01",43,26,36,17,49,7,19,17
"2019-04-01",45,25,34,17,51,7,18,15
"2019-05-01",44,26,33,17,53,7,17,14
"2019-06-01",42,27,32,17,55,7,16,14
"2019-07-01",43,26,34,17,51,7,15,13
"2019-08-01",41,28,34,16,50,7,16,14
"2019-09-01",41,24,38,19,52,7,20,17
"2019-10-01",44,26,36,18,52,7,18,16
"2019-11-01",46,26,37,18,48,7,19,16
"2019-12-01",42,25,31,16,50,7,15,14
"2020-01-01",47,27,34,17,47,7,17,15
"2020-02-01",43,26,37,19,48,7,19,17
"2020-03-01",42,23,33,16,52,6,17,16
"2020-04-01",46,21,41,16,54,6,19,16
"2020-05-01",47,25,40,16,51,7,18,16
"2020-06-01",49,28,35,17,49,7,17,14
"2020-07-01",49,31,32,16,48,7,16,13
"2020-08-01",46,29,33,16,47,7,18,14
"2020-09-01",47,28,43,19,51,7,24,23
"2020-10-01",46,28,40,17,48,7,24,22
"2020-11-01",48,25,35,15,46,7,19,18
"2020-12-01",45,26,32,14,43,7,16,17
"2021-01-01",49,28,34,15,47,7,18,17
"2021-02-01",51,27,37,15,46,7,20,18
"2021-03-01",52,28,36,16,41,7,20,19
"2021-04-01",51,26,34,15,41,7,18,17
"2021-05-01",50,27,33,16,43,7,18,17
"2021-06-01",49,29,32,16,41,7,16,15
"2021-07-01",48,27,31,15,42,7,15,13
"2021-08-01",48,30,32,15,43,7,16,14
"2021-09-01",49,28,39,17,46,7,22,18
"2021-10-01",49,26,37,17,49,7,23,21
"2021-11-01",48,24,36,15,42,7,21,20
"2021-12-01",49,26,33,15,44,7,17,16
"2022-01-01",56,27,40,17,46,8,22,19
"2022-02-01",52,28,49,18,61,8,26,22
"2022-03-01",55,28,53,20,52,9,30,26
"2022-04-01",53,27,50,18,55,8,25,24
"2022-05-01",53,26,46,17,51,8,23,23
"2022-06-01",52,27,41,17,44,8,19,18
"2022-07-01",53,30,39,16,47,7,17,15
"2022-08-01",51,29,41,16,47,8,19,16
"2022-09-01",51,27,50,17,51,8,26,22
"2022-10-01",51,26,46,17,45,8,25,21
"2022-11-01",49,25,45,17,44,8,22,22
"2022-12-01",50,26,41,15,43,7,20,20
"2023-01-01",50,28,45,16,45,8,22,22
"2023-02-01",52,27,47,18,50,8,25,22
"2023-03-01",54,27,46,17,46,8,23,23
"2023-04-01",59,27,41,15,45,8,22,21
"2023-05-01",54,28,46,16,41,8,22,22
"2023-06-01",58,28,39,15,41,8,18,19
"2023-07-01",52,31,37,14,42,8,17,14
"2023-08-01",52,31,39,15,44,8,20,15
"2023-09-01",50,28,46,16,44,8,27,20
"2023-10-01",52,28,45,17,41,8,25,20
"2023-11-01",56,26,41,16,40,8,22,20
"2023-12-01",52,27,38,15,39,8,20,17
"2024-01-01",51,30,42,17,41,8,23,19
"2024-02-01",53,29,47,18,44,9,27,21
"2024-03-01",57,29,42,17,49,8,25,19
"2024-04-01",54,28,41,17,48,9,25,20
"2024-05-01",50,29,41,15,41,9,22,18
"2024-06-01",55,33,36,16,39,9,20,14
"2024-07-01",51,32,37,15,41,8,20,13
"2024-08-01",52,36,40,15,43,9,24,16
"2024-09-01",53,43,46,17,49,9,27,18
"2024-10-01",54,44,42,16,42,9,26,17
"2024-11-01",58,37,43,16,45,9,26,17
"2024-12-01",54,36,42,15,45,9,23,17
"2025-01-01",58,38,42,16,48,11,27,17
"2025-02-01",58,35,46,18,48,10,29,18
"2025-03-01",61,37,43,18,49,10,27,17
"2025-04-01",54,32,41,17,47,11,26,16
"2025-05-01",58,32,40,17,46,12,25,16
"2025-06-01",57,36,40,17,56,12,24,15
"2025-07-01",61,38,42,17,43,13,22,15
"2025-08-01",67,38,62,20,49,15,29,19
"2025-09-01",66,35,64,21,57,16,35,21
"2025-10-01",63,36,61,21,53,15,33,22
"2025-11-01",66,33,60,20,48,17,32,22
"2025-12-01",59,38,60,19,49,15,30,20
"2026-01-01",65,39,63,21,59,19,32,22
"2026-02-01",78,41,100,25,66,23,38,30
"2026-03-01",77,42,76,26,59,21,40,26
"2026-04-01",75,39,67,24,76,20,40,23
