"Time","jester","joy","humor","fun","entertainment","laughter","comedy","amusement"
"2017-12-01",1,41,10,69,24,2,49,3
"2018-01-01",1,31,9,70,25,2,50,3
"2018-02-01",1,33,10,73,24,2,51,3
"2018-03-01",1,32,9,71,26,2,55,4
"2018-04-01",1,31,9,70,23,2,56,4
"2018-05-01",1,30,8,72,23,2,61,4
"2018-06-01",1,30,8,73,23,1,68,5
"2018-07-01",1,29,8,70,23,2,73,5
"2018-08-01",1,27,8,67,23,1,89,4
"2018-09-01",1,32,8,66,24,2,96,3
"2018-10-01",2,33,8,68,24,2,100,3
"2018-11-01",1,33,8,66,23,2,98,2
"2018-12-01",1,40,8,63,24,2,89,3
"2019-01-01",1,31,8,66,24,2,87,3
"2019-02-01",1,34,8,67,24,2,77,3
"2019-03-01",2,30,8,70,24,2,77,4
"2019-04-01",1,31,8,69,23,2,74,4
"2019-05-01",1,30,8,67,23,2,72,4
"2019-06-01",1,30,8,74,26,2,69,5
"2019-07-01",2,29,7,72,24,1,65,6
"2019-08-01",2,28,8,68,23,1,63,4
"2019-09-01",2,27,8,65,22,1,63,3
"2019-10-01",2,29,8,63,43,2,66,3
"2019-11-01",1,34,8,64,56,2,68,3
"2019-12-01",1,37,8,68,40,1,57,3
"2020-01-01",1,31,8,66,32,2,51,3
"2020-02-01",1,30,8,67,29,1,44,3
"2020-03-01",1,30,9,59,29,1,44,2
"2020-04-01",1,32,9,64,26,2,47,2
"2020-05-01",1,32,9,62,26,2,39,2
"2020-06-01",1,30,8,62,25,1,36,3
"2020-07-01",1,33,8,64,22,2,37,3
"2020-08-01",1,32,8,62,19,2,33,3
"2020-09-01",1,29,8,61,20,1,33,3
"2020-10-01",1,29,8,57,20,1,34,2
"2020-11-01",1,31,8,51,18,1,30,2
"2020-12-01",1,37,9,53,19,1,30,2
"2021-01-01",1,28,8,52,20,1,30,2
"2021-02-01",1,28,8,56,20,1,27,2
"2021-03-01",1,28,8,58,20,1,27,3
"2021-04-01",1,28,9,57,19,1,28,3
"2021-05-01",1,28,9,59,20,2,30,4
"2021-06-01",1,29,9,63,19,1,29,5
"2021-07-01",1,28,8,65,19,1,29,5
"2021-08-01",2,28,7,63,19,1,29,5
"2021-09-01",1,29,7,57,21,1,27,3
"2021-10-01",2,29,8,60,20,1,27,3
"2021-11-01",1,32,7,59,18,1,26,3
"2021-12-01",1,36,7,60,19,1,27,3
"2022-01-01",1,32,8,54,22,1,34,3
"2022-02-01",1,31,9,61,22,1,33,3
"2022-03-01",1,32,8,67,22,1,34,5
"2022-04-01",1,31,8,71,21,1,34,4
"2022-05-01",1,31,8,71,20,1,32,5
"2022-06-01",1,30,8,66,20,1,33,5
"2022-07-01",2,31,7,67,21,2,34,5
"2022-08-01",2,29,8,64,19,2,32,4
"2022-09-01",1,31,7,64,18,1,33,3
"2022-10-01",2,30,8,63,18,1,32,3
"2022-11-01",1,32,7,60,18,1,29,3
"2022-12-01",1,38,7,62,17,1,31,3
"2023-01-01",1,33,7,63,18,1,31,3
"2023-02-01",1,34,7,66,20,1,34,3
"2023-03-01",1,30,7,67,18,1,32,3
"2023-04-01",1,32,7,66,18,1,31,4
"2023-05-01",1,32,8,67,19,1,29,4
"2023-06-01",2,33,8,71,19,1,32,5
"2023-07-01",2,36,7,67,19,1,29,5
"2023-08-01",2,32,7,66,18,1,28,4
"2023-09-01",2,30,7,64,17,1,27,3
"2023-10-01",3,29,7,63,17,1,27,3
"2023-11-01",3,32,7,61,17,1,28,3
"2023-12-01",3,39,7,64,17,1,30,3
"2024-01-01",2,33,6,63,19,1,30,3
"2024-02-01",2,33,6,68,19,1,29,3
"2024-03-01",2,36,7,69,19,1,29,4
"2024-04-01",2,32,7,69,19,1,29,4
"2024-05-01",2,34,7,71,17,1,28,4
"2024-06-01",2,35,6,68,18,4,26,5
"2024-07-01",2,35,6,66,18,4,27,5
"2024-08-01",2,35,6,65,17,4,28,4
"2024-09-01",3,32,6,64,19,4,27,3
"2024-10-01",3,33,6,67,18,3,27,3
"2024-11-01",2,36,7,66,18,2,26,3
"2024-12-01",2,43,6,70,18,2,28,3
"2025-01-01",2,41,6,68,18,2,29,3
"2025-02-01",2,39,6,73,18,3,28,3
"2025-03-01",2,35,6,74,18,3,29,3
"2025-04-01",2,32,6,74,17,3,29,4
"2025-05-01",2,31,6,77,18,3,27,5
"2025-06-01",2,33,6,74,18,4,27,5
"2025-07-01",2,33,6,69,21,4,30,5
"2025-08-01",2,34,7,74,27,2,33,6
"2025-09-01",2,33,7,70,25,2,32,4
"2025-10-01",3,39,7,74,25,2,34,4
"2025-11-01",2,40,7,73,25,3,34,4
"2025-12-01",2,45,8,82,27,4,42,4
"2026-01-01",3,39,8,76,29,4,45,4
"2026-02-01",3,42,13,85,32,4,42,4
"2026-03-01",3,38,8,88,29,3,35,4
"2026-04-01",3,40,8,84,26,3,32,4
