"Time","magician","transformation","intuition","magic","mystery","healing","manifestation","witchcraft"
"2017-12-01",3,7,1,74,13,12,1,1
"2018-01-01",3,8,1,71,13,13,1,1
"2018-02-01",3,8,1,67,13,14,2,1
"2018-03-01",3,8,1,65,14,14,2,1
"2018-04-01",3,7,1,64,15,13,2,1
"2018-05-01",3,7,1,66,15,13,3,1
"2018-06-01",3,6,1,65,14,13,2,1
"2018-07-01",2,6,1,75,14,14,1,1
"2018-08-01",3,6,1,67,14,13,1,1
"2018-09-01",3,7,1,62,14,14,2,1
"2018-10-01",3,7,1,66,14,13,2,1
"2018-11-01",2,7,1,69,14,13,6,1
"2018-12-01",3,7,1,68,14,12,6,1
"2019-01-01",3,8,1,67,14,14,3,1
"2019-02-01",3,8,1,64,13,14,3,1
"2019-03-01",2,8,1,62,13,14,4,1
"2019-04-01",2,7,1,68,12,14,2,1
"2019-05-01",2,7,1,64,12,12,3,1
"2019-06-01",3,6,1,68,23,14,2,1
"2019-07-01",3,6,1,66,16,14,1,1
"2019-08-01",3,6,1,64,15,14,2,1
"2019-09-01",3,7,1,64,14,14,3,1
"2019-10-01",3,7,1,62,14,14,3,1
"2019-11-01",2,7,1,65,14,13,3,1
"2019-12-01",2,7,1,76,15,14,5,1
"2020-01-01",3,8,1,68,15,14,5,1
"2020-02-01",2,8,1,63,15,14,2,1
"2020-03-01",2,7,1,57,18,14,2,1
"2020-04-01",3,7,1,63,19,14,1,2
"2020-05-01",3,7,1,69,18,13,2,2
"2020-06-01",2,7,2,66,15,14,4,2
"2020-07-01",2,7,1,63,16,15,3,2
"2020-08-01",2,6,1,68,15,14,2,2
"2020-09-01",2,8,1,61,15,14,2,2
"2020-10-01",2,8,1,60,14,14,3,2
"2020-11-01",2,7,1,57,14,12,3,2
"2020-12-01",2,7,1,65,15,13,3,1
"2021-01-01",2,7,1,63,15,14,3,1
"2021-02-01",2,8,1,60,14,14,2,1
"2021-03-01",2,7,1,61,15,14,3,1
"2021-04-01",2,7,1,60,14,14,2,1
"2021-05-01",2,7,1,54,14,14,3,1
"2021-06-01",2,7,1,59,13,14,2,1
"2021-07-01",3,6,1,64,14,15,4,1
"2021-08-01",3,6,1,63,14,15,4,1
"2021-09-01",2,7,1,54,13,15,3,1
"2021-10-01",3,7,1,59,14,15,3,1
"2021-11-01",2,7,1,66,13,14,3,1
"2021-12-01",2,6,1,65,14,15,2,1
"2022-01-01",3,8,1,68,15,17,3,1
"2022-02-01",3,9,1,66,16,17,4,1
"2022-03-01",3,9,2,67,14,17,3,1
"2022-04-01",3,8,1,69,15,15,3,1
"2022-05-01",3,8,1,70,14,16,3,1
"2022-06-01",2,7,1,64,12,15,2,1
"2022-07-01",2,6,1,70,15,15,2,1
"2022-08-01",3,7,1,62,14,15,2,1
"2022-09-01",2,8,1,62,15,15,3,1
"2022-10-01",3,7,1,67,14,15,3,1
"2022-11-01",2,8,1,64,14,15,2,1
"2022-12-01",3,7,1,73,17,14,2,1
"2023-01-01",3,8,1,68,18,16,6,1
"2023-02-01",3,8,1,79,16,16,6,1
"2023-03-01",2,8,1,75,17,15,11,1
"2023-04-01",2,7,1,69,21,15,5,1
"2023-05-01",2,7,1,67,14,15,4,1
"2023-06-01",2,7,1,73,15,16,3,1
"2023-07-01",2,6,1,73,15,16,2,1
"2023-08-01",2,7,1,71,15,16,2,1
"2023-09-01",2,7,1,69,14,16,3,1
"2023-10-01",2,8,1,75,15,15,3,1
"2023-11-01",2,7,1,73,15,15,4,1
"2023-12-01",2,7,1,80,15,16,3,1
"2024-01-01",2,7,1,81,15,18,5,1
"2024-02-01",2,8,1,78,14,17,3,1
"2024-03-01",2,8,1,79,14,17,2,1
"2024-04-01",3,7,1,76,13,16,2,1
"2024-05-01",2,7,1,74,14,16,3,1
"2024-06-01",3,7,1,75,14,16,3,1
"2024-07-01",3,6,1,73,14,15,2,1
"2024-08-01",3,6,1,74,15,17,2,1
"2024-09-01",3,7,1,76,15,15,3,2
"2024-10-01",3,8,1,78,15,15,2,2
"2024-11-01",3,8,1,80,16,15,3,1
"2024-12-01",3,7,1,83,17,16,3,1
"2025-01-01",3,8,1,83,15,17,2,1
"2025-02-01",3,8,1,78,14,17,2,1
"2025-03-01",3,8,1,83,15,18,3,1
"2025-04-01",2,8,1,80,14,17,3,1
"2025-05-01",3,8,1,75,14,17,3,1
"2025-06-01",3,9,1,78,15,18,3,1
"2025-07-01",4,9,1,83,17,19,2,1
"2025-08-01",4,13,2,88,19,21,2,2
"2025-09-01",4,14,2,82,18,21,6,2
"2025-10-01",4,12,2,85,19,21,3,2
"2025-11-01",3,13,2,90,19,20,3,2
"2025-12-01",4,13,2,93,23,21,3,2
"2026-01-01",4,16,2,89,21,21,3,2
"2026-02-01",4,30,2,95,22,26,3,3
"2026-03-01",4,21,2,100,18,24,3,2
"2026-04-01",3,16,2,96,20,24,2,1
